speed,energy_over_a_c,production_rate_over_a_c,reference_rate_over_a_c,absolute_difference,relative_difference
0.30,3.00,5.36751692130655128e-05,5.36751692176994810e-05,4.63396817662956040e-15,8.63335550528921557e-11
0.30,3.04,5.01926397835595012e-05,5.01926397894968837e-05,5.93738247586447776e-15,1.18291895002241170e-10
0.30,3.08,4.71241962508970756e-05,4.71241962614534101e-05,1.05563344524051139e-14,2.24010917742484055e-10
0.30,3.12,4.43830477244128057e-05,4.43830477366380729e-05,1.22252671853027850e-14,2.75449024092387048e-10
0.30,3.16,4.18824905361981647e-05,4.18824905214494779e-05,1.47486867553905943e-14,3.52144453965488975e-10
0.30,3.20,3.95376834755280229e-05,3.95376834775278542e-05,1.99983123594024703e-15,5.05803845861859065e-11
0.30,3.24,3.73036744445930476e-05,3.73036744582627296e-05,1.36696819770694422e-14,3.66443310895922205e-10
0.30,3.28,3.51748790800020283e-05,3.51748790909185753e-05,1.09165470716862667e-14,3.10350663707176553e-10
0.30,3.32,3.31474748687426011e-05,3.31474748726899712e-05,3.94737004584880258e-15,1.19085090523773809e-10
0.30,3.36,3.12177329346330525e-05,3.12177329369528589e-05,2.31980640209503153e-15,7.43105339128917014e-11
0.30,3.40,2.93820169557866021e-05,2.93820169548186060e-05,9.67996028385792462e-16,3.29451865021486437e-11
0.30,3.44,2.76367820819943412e-05,2.76367820786531147e-05,3.34122649253004722e-15,1.20897812307563789e-10
0.30,3.48,2.59785738470261863e-05,2.59785738447341084e-05,2.29207793153371475e-15,8.82295519851380089e-11
0.30,3.52,2.44040270758141237e-05,2.44040270733506266e-05,2.46349707126725104e-15,1.00946334138327838e-10
0.30,3.56,2.29098647865269178e-05,2.29098647852639510e-05,1.26296678193763001e-15,5.51276401574396730e-11
0.30,3.60,2.14928970877751078e-05,2.14928970885228075e-05,7.47699699463894030e-16,3.47882231224735686e-11
0.30,3.64,2.01500200709708543e-05,2.01500200718081294e-05,8.37275127701930799e-16,4.15520741278745195e-11
0.30,3.68,1.88782146979708457e-05,1.88782146996022345e-05,1.63138884454357147e-15,8.64164790210774025e-11
0.30,3.72,1.76745456841512573e-05,1.76745456858287078e-05,1.67745049621526032e-15,9.49077009408069256e-11
0.30,3.76,1.65361603769398834e-05,1.65361603773710097e-05,4.31126217625282804e-16,2.60717244987088782e-11
