speed,energy_over_a_c,production_rate_over_a_c,mode_sum_rate_over_a_c,absolute_difference,relative_difference
0.30,3.44,2.76367820819943412e-05,2.76367820793316322e-05,2.66270905606609543e-15,9.63465662689225212e-11
0.30,3.48,2.59785738470261863e-05,2.59785738440926740e-05,2.93351226556687328e-15,1.12920450644134614e-10
0.30,3.52,2.44040270758141237e-05,2.44040270735743416e-05,2.23978211737023425e-15,9.17792014661203233e-11
0.30,3.56,2.29098647865269178e-05,2.29098647855135276e-05,1.01339021809504493e-15,4.42337930661134485e-11
0.30,3.60,2.14928970877751078e-05,2.14928970880437731e-05,2.68665298341907999e-16,1.25001900507569594e-11
0.30,3.64,2.01500200709708543e-05,2.01500200721801226e-05,1.20926828121349639e-15,6.00132544226622280e-11
0.30,3.68,1.88782146979708457e-05,1.88782146995646161e-05,1.59377041729011348e-15,8.44237891481798949e-11
0.30,3.72,1.76745456841512573e-05,1.76745456855547773e-05,1.40352004107321959e-15,7.94091155746255952e-11
0.30,3.76,1.65361603769398834e-05,1.65361603777375615e-05,7.97678031483686767e-16,4.82384068164693962e-11
0.30,3.80,1.54602876299301014e-05,1.54602876299516093e-05,2.15078605966811942e-17,1.39116820537112564e-12
0.30,3.84,1.44442366725497385e-05,1.44442366719011756e-05,6.48562963317250718e-16,4.49011587146671802e-11
0.30,3.88,1.34853959754608410e-05,1.34853959744442083e-05,1.01663266021713439e-15,7.53876758341932362e-11
0.30,3.92,1.25812321116429997e-05,1.25812321106390370e-05,1.00396274139210456e-15,7.97984436312184343e-11
0.30,3.96,1.17292886133053983e-05,1.17292886126325628e-05,6.72835539453769949e-16,5.73637124700912594e-11
0.30,4.00,1.09271848246321688e-05,1.09271848244744276e-05,1.57741251701273844e-16,1.44356716057340804e-11
0.60,0.08,1.31247130423143704e-02,1.31247130426810493e-02,3.66678909458073576e-13,2.79380515418240537e-11
0.60,0.12,1.21224248296590859e-02,1.21224248299191088e-02,2.60022905984591546e-13,2.14497437297226495e-11
0.60,0.16,1.11751810568986257e-02,1.11751810570305862e-02,1.31960414817555716e-13,1.18083469202081626e-11
0.60,0.20,1.02815462430338681e-02,1.02815462430490834e-02,1.52152596077925750e-14,1.47986102947102582e-12
0.60,0.24,9.44005496790647179e-03,9.44005496783840298e-03,6.80688144738539336e-14,7.21063751278563039e-12
0.60,0.28,8.64921329075336344e-03,8.64921329064664152e-03,1.06721922965569149e-13,1.23389167753533679e-11
0.60,0.32,7.90750019481179130e-03,7.90750019471022324e-03,1.01568059518442055e-13,1.28445219117903665e-11
0.60,0.36,7.21336905641571137e-03,7.21336905635173737e-03,6.39739997088106804e-14,8.86881001222006405e-12
0.60,0.40,6.56524913700174545e-03,6.56524913699000311e-03,1.17423432088870072e-14,1.78856018467420533e-12
0.60,0.44,5.96154709642102761e-03,5.96154709645718879e-03,3.61611782184745323e-14,6.06573723789992242e-12
0.60,0.48,5.40064852593077818e-03,5.40064852599572882e-03,6.49506490257856228e-14,1.20264536218473012e-11
0.60,0.52,4.88091949922033700e-03,4.88091949928795045e-03,6.76134495614100217e-14,1.38526049387361869e-11
0.60,0.56,4.40070813980684549e-03,4.40070813985305766e-03,4.62121660382841526e-14,1.05010749565017069e-11
0.60,0.60,3.95834620311946803e-03,3.95834620312979831e-03,1.03302782994418862e-14,2.60974603264209387e-12
0.60,0.64,3.55215067157541075e-03,3.55215067154886687e-03,2.65438712676591138e-14,7.47261975125762914e-12
0.60,0.68,3.18042536093799712e-03,3.18042536088649058e-03,5.15065420869653678e-14,1.61948595682839034e-11
0.60,0.72,2.84146253623656416e-03,2.84146253618019692e-03,5.63672372666523813e-14,1.98374029391312518e-11
0.60,0.76,2.53354453551916893e-03,2.53354453547907253e-03,4.00963984237279192e-14,1.58262062743436323e-11
0.60,0.80,2.25494539970319844e-03,2.25494539969426332e-03,8.93512694388753914e-15,3.96245822408782400e-12
0.60,0.84,2.00393250678484796e-03,2.00393250681063333e-03,2.57853634277882549e-14,1.28673811818278504e-11
0.60,0.88,1.77876820866647062e-03,1.77876820871784749e-03,5.13768715071361015e-14,2.88833987786239005e-11
0.60,0.92,1.57771146886033693e-03,1.57771146891833372e-03,5.79967931318980945e-14,3.67600757644616933e-11
0.60,0.96,1.39901949932877195e-03,1.39901949937069480e-03,4.19228454034969999e-14,2.99658764029770023e-11
0.60,1.00,1.24094939472323986e-03,1.24094939473033184e-03,7.09198325066218160e-15,5.71496571961608919e-12
0.60,1.04,1.10175976228978805e-03,1.10175976225408419e-03,3.57038617421201465e-14,3.24062131921334794e-11
0.60,1.08,9.79712345714223295e-04,9.79712345642709103e-04,7.15141921375783696e-14,7.29950913200586000e-11
0.60,1.12,8.73073641189042108e-04,8.73073641103997724e-04,8.50443847288939736e-14,9.74080314936042853e-11
0.60,1.16,7.80116503994401087e-04,7.80116503930173492e-04,6.42275945969550399e-14,8.23307727414826151e-11
0.60,1.20,6.99121743897806666e-04,6.99121743896033020e-04,1.77364633396903670e-15,2.53696348233276682e-12
0.60,1.24,6.28379707690426858e-04,6.28379707798948231e-04,1.08521373311243341e-13,1.72700314737033250e-10
0.60,1.28,5.66191847181667551e-04,5.66191847478411084e-04,2.96743532524068598e-13,5.24104212813455314e-10
0.60,1.32,5.10872270788750686e-04,5.10872271671198772e-04,8.82448085957887596e-13,1.72733603855845548e-09
0.60,1.36,4.60814468479724940e-04,4.60814468065737139e-04,4.13987800203935441e-13,8.98382817583058903e-10
0.60,1.40,4.15185286360494714e-04,4.15185286347316562e-04,1.31781521459095607e-14,3.17404122430427088e-11
0.60,1.44,3.73656499386946714e-04,3.73656499468640318e-04,8.16936037047188979e-14,2.18632898988487040e-10
0.60,1.48,3.35923850276824063e-04,3.35923850374745571e-04,9.79215081416129340e-14,2.91499124079385622e-10
0.60,1.52,3.01698644863864656e-04,3.01698644939840557e-04,7.59759009177907174e-14,2.51827120181267315e-10
0.60,1.56,2.70707473534021641e-04,2.70707473571408890e-04,3.73872482452297650e-14,1.38109405521704325e-10
0.60,1.60,2.42691913408828918e-04,2.42691913407177407e-04,1.65151095923854463e-15,6.80496904924769790e-12
0.60,1.64,2.17408211757748343e-04,2.17408211728015047e-04,2.97332959035140343e-14,1.36762524594569525e-10
0.60,1.68,1.94626951273172121e-04,1.94626951231971680e-04,4.12004414959699083e-14,2.11689291925782615e-10
0.60,1.72,1.74132697872142635e-04,1.74132697835882930e-04,3.62597050908991525e-14,2.08230306780598450e-10
0.60,1.76,1.55723631711048515e-04,1.55723631691199647e-04,1.98488686424524996e-14,1.27462148338621187e-10
0.60,1.80,1.39211162119367931e-04,1.39211162119975978e-04,6.08047683384183024e-16,4.36780840073837586e-12
0.60,1.84,1.24419527177451719e-04,1.24419527195195908e-04,1.77441882801693263e-14,1.42615782909472963e-10
0.60,1.88,1.11185378680460185e-04,1.11185378706845763e-04,2.63855777504762301e-14,2.37311578710768485e-10
0.60,1.92,9.93573532464725370e-05,9.93573532713183037e-05,2.48457667200580046e-14,2.50064699813519329e-10
0.60,1.96,8.87956303419095615e-05,8.87956303568445548e-05,1.49349933462050721e-14,1.68195138501585647e-10
0.60,2.00,7.93714780107007201e-05,7.93714780116770713e-05,9.76351161377508880e-16,1.23010328878324388e-11
0.60,2.04,7.09667871065677061e-05,7.09667870946779385e-05,1.18897675992907237e-14,1.67539888531636538e-10
0.60,2.08,6.34735948392267240e-05,6.34735948197801214e-05,1.94466025314060653e-14,3.06373108166011228e-10
0.60,2.12,5.67935984561342342e-05,5.67935984364836119e-05,1.96506222752135251e-14,3.46000655288469484e-10
0.60,2.16,5.08376598912049267e-05,5.08376598781003038e-05,1.31046229098243094e-14,2.57773920775402951e-10
0.60,2.20,4.55253022204566500e-05,4.55253022178719256e-05,2.58472442667828650e-15,5.67755577834164937e-11
0.60,2.24,4.07841987723208156e-05,4.07841987803392089e-05,8.01839334946957694e-15,1.96605391040193600e-10
0.60,2.28,3.65496557463139234e-05,3.65496557614348777e-05,1.51209543475770702e-14,4.13709897742233814e-10
0.60,2.32,3.27640891991086232e-05,3.27640892157005757e-05,1.65919524213603564e-14,5.06406642715692511e-10
0.60,2.36,2.93764972604714108e-05,2.93764972727879170e-05,1.23165061862492292e-14,4.19263946680882036e-10
0.60,2.40,2.63419284438824246e-05,2.63419284479893554e-05,4.10693072432077866e-15,1.55908506563203250e-10
0.60,2.44,2.36209469179801409e-05,2.36209469129618332e-05,5.01830768238030467e-15,2.12451588027850925e-10
0.60,2.48,2.11790956049634279e-05,2.11790955930490828e-05,1.19143451072882545e-14,5.62552119137632489e-10
0.60,2.52,1.89863579710725443e-05,1.89863579566846766e-05,1.43878676605192074e-14,7.57800294998312634e-10
0.60,2.56,1.70166193721324542e-05,1.70166193602685922e-05,1.18638619436318982e-14,6.97192649871004560e-10
0.60,2.60,1.52471288141159645e-05,1.52471288086617788e-05,5.45418575483968410e-15,3.57718874372019611e-10
0.60,2.64,1.36579619845451772e-05,1.36579619870427894e-05,2.49761217025086524e-15,1.82868584099174685e-10
0.60,2.68,1.22314864197639717e-05,1.22314864289931614e-05,9.22918967811992008e-15,7.54543589750736804e-10
0.60,2.72,1.09518445676375468e-05,1.09518445801679423e-05,1.25303955579580961e-14,1.14413562630797913e-09
0.60,2.76,9.80459721850738287e-06,9.80459722997500281e-06,1.14676199309063365e-14,1.16961662594839431e-09
0.60,2.80,8.77658381687666694e-06,8.77658382345780462e-06,6.58113768017311307e-15,7.49851857232108360e-10
0.60,2.84,7.85583012478201960e-06,7.85583012446446187e-06,3.17557734123320723e-16,4.04231925960808464e-11
0.60,2.88,7.03146066842676271e-06,7.03146066159552415e-06,6.83123855741004857e-15,9.71524820542757182e-10
0.60,2.92,6.29361546587167214e-06,6.29361545507262633e-06,1.07990458142102029e-14,1.71587315610556089e-09
0.60,2.96,5.63337099398938980e-06,5.63337098300931442e-06,1.09800753897632865e-14,1.94911278218318118e-09
0.60,3.00,5.04266534422014353e-06,5.04266533676577586e-06,7.45436766242009441e-15,1.47825944507376665e-09
0.60,3.04,4.51422750807742067e-06,4.51422750650110252e-06,1.57631815044488588e-15,3.49188902901941259e-10
0.60,3.08,4.04151072507004033e-06,4.04151072971310648e-06,4.64306615751601884e-15,1.14884419912095954e-09
0.60,3.12,3.61862981841269682e-06,3.61862982748906142e-06,9.07636460564451020e-15,2.50823240793947894e-09
