E_over_a_c,rate_over_a_c_v_0.30,rate_over_a_c_v_0.60,rate_over_a_c_v_0.85,a_c_beta_eff_v_0.30,a_c_beta_eff_v_0.60,a_c_beta_eff_v_0.85
1.72,9.06290667951791451e-04,1.74132697872142635e-04,8.24929507480579412e-05,3.32203658552500425e+00,4.27952095898134832e+00,4.71368967484597512e+00
1.76,8.43402594474394990e-04,1.55723631711048515e-04,7.24703975742538352e-05,3.30028937472033457e+00,4.25876149640214141e+00,4.69319762312407640e+00
1.80,7.83729914399485645e-04,1.39211162119367931e-04,6.36655312255757840e-05,3.28004871698967992e+00,4.23884113596078382e+00,4.67333281184908067e+00
1.84,7.27184995384932650e-04,1.24419527177451719e-04,5.59304910547927500e-05,3.26124904827387274e+00,4.21965472756749360e+00,4.65406540562814097e+00
1.88,6.73680173780336327e-04,1.11185378680460185e-04,4.91353096769000863e-05,3.24382913761863367e+00,4.20110527007880474e+00,4.63536784927728096e+00
1.92,6.23127758352742269e-04,9.93573532464725370e-05,4.31657711633137527e-05,3.22773136185295106e+00,4.18310457870439922e+00,4.61721462514028147e+00
1.96,5.75440034012761445e-04,8.87956303419095615e-05,3.79215269783146419e-05,3.21290098612243691e+00,4.16557404904107198e+00,4.59958192740502536e+00
2.00,5.30529265540871479e-04,7.93714780107007201e-05,3.33144272378136017e-05,3.19928543452640790e+00,4.14844545458708058e+00,4.58244738672644392e+00
2.04,4.88307701313696026e-04,7.09667871065677061e-05,2.92670439641442719e-05,3.18683353486987242e+00,4.13166170213549222e+00,4.56578986962248923e+00
2.08,4.48687577030058415e-04,6.34735948392267240e-05,2.57113677652641903e-05,3.17549472116059084e+00,4.11517745933095735e+00,4.54958934162423656e+00
2.12,4.11581119436602212e-04,5.67935984561342342e-05,2.25876602150278597e-05,3.16521817711559716e+00,4.09895956269286099e+00,4.53382677998840844e+00
2.16,3.76900550052829727e-04,5.08376598912049267e-05,1.98434451322753249e-05,3.15595190382471991e+00,4.08298711421507132e+00,4.51848412095609753e+00
2.20,3.44558088895369219e-04,4.55253022204566500e-05,1.74326230507910154e-05,3.14764169519621584e+00,4.06725118148841780e+00,4.50354422697570378e+00
2.24,3.14465958201373490e-04,4.07841987723208156e-05,1.53146943935615578e-05,3.14023000638552308e+00,4.05175403075224327e+00,4.48899086104664402e+00
2.28,2.86536386150856512e-04,3.65496557463139234e-05,1.34540781647413017e-05,3.13365470380425570e+00,4.03650784426498888e+00,4.47480865832920749e+00
2.32,2.60681610587860349e-04,3.27640891991086232e-05,1.18195143094719111e-05,3.12784769152715825e+00,4.02153290222335968e+00,4.46098308904602447e+00
2.36,2.36813882740277384e-04,2.93764972604714108e-05,1.03835392209214814e-05,3.12273341931214254e+00,4.00685524440944274e+00,4.44750041100423044e+00
2.40,2.14845470938112936e-04,2.63419284438824246e-05,9.12202515890147013e-06,3.11822729376048580e+00,3.99250386766338838e+00,4.43434761404056044e+00
2.44,1.94688664329993187e-04,2.36209469179801409e-05,8.01377555105586709e-06,3.11423403846614555e+00,3.97850756356880009e+00,4.42151236148016746e+00
2.48,1.76255776597717203e-04,2.11790956049634279e-05,7.04016924542225957e-06,3.11064608361849171e+00,3.96489156032072243e+00,4.40898293456312906e+00
2.52,1.59459149668641527e-04,1.89863579710725443e-05,6.18484774806942499e-06,3.10734211248192782e+00,3.95167421087654924e+00,4.39674818436011616e+00
2.56,1.44211157425682643e-04,1.70166193721324542e-05,5.43344029205121795e-06,3.10418595247579310e+00,3.93886407719128195e+00,4.38479749258666729e+00
2.60,1.30424209414779514e-04,1.52471288141159645e-05,4.77332223686186903e-06,3.10102607079001702e+00,3.92645791208465322e+00,4.37312073984265393e+00
2.64,1.18010754549670795e-04,1.36579619845451772e-05,4.19340281826260500e-06,3.09769601274732276e+00,3.91444025261630779e+00,4.36170827884050283e+00
2.68,1.06883284813855117e-04,1.22314864197639717e-05,3.68393871448870163e-06,3.09401619275756490e+00,3.90278562720600375e+00,4.35055091054729015e+00
2.72,9.69543389595723586e-05,1.09518445676375468e-05,3.23637029907129390e-06,3.08979749098799239e+00,3.89146425533209772e+00,4.33963986179172689e+00
2.76,8.81365062036851678e-05,9.80459721850738287e-06,2.84317781817288064e-06,3.08484709271781554e+00,3.88044750425739426e+00,4.32896676345219067e+00
2.80,8.03424299203143799e-05,8.77658381687666694e-06,2.49775506114393882e-06,3.07897689519387008e+00,3.86970905647614583e+00,4.31852362884266494e+00
2.84,7.34848113299962588e-05,7.85583012478201960e-06,2.19429838796238028e-06,3.07201456733228628e+00,3.85922499173938416e+00,4.30830283237558476e+00
2.88,6.74764131851994634e-05,7.03146066842676271e-06,1.92770924008056918e-06,3.06381697328013436e+00,3.84897384207116433e+00,4.29829708874111827e+00
2.92,6.22300634519602986e-05,6.29361546587167214e-06,1.69350849157853743e-06,3.05428520061567843e+00,3.83893662628981813e+00,4.28849943301291958e+00
2.96,5.76586589874164364e-05,5.63337099398938980e-06,1.48776120039106308e-06,3.04337996946251677e+00,3.82909685783822340e+00,4.27890320203695129e+00
3.00,5.36751692130655128e-05,5.04266534422014353e-06,1.30701049668560679e-06,3.03113589820246743e+00,3.81944052035476034e+00,4.26950201729227885e+00
3.04,5.01926397835595012e-05,4.51422750807742067e-06,1.14821949978367698e-06,3.01767313931587822e+00,3.80995600639114862e+00,4.26028976928629000e+00
3.08,4.71241962508970756e-05,4.04151072507004033e-06,1.00872028975126845e-06,3.00320539841448841e+00,3.80063401598888762e+00,4.25126060347194823e+00
3.12,4.43830477244128057e-05,3.61862981841269682e-06,8.86169078951239114e-07,2.98804432092334915e+00,3.79146741336862725e+00,4.24240890722165176e+00
3.16,4.18824905361981647e-05,3.24030243507914270e-06,7.78506830062526956e-07,2.97260156332358427e+00,3.78245104189223325e+00,4.23372929793694119e+00
3.20,3.95376834755280229e-05,2.90179410032160792e-06,6.83924660036991427e-07,2.95737740663808335e+00,3.77358149938009912e+00,4.22521661181672048e+00
3.24,3.73036744445930476e-05,2.59886698884155424e-06,6.00833448225961419e-07,2.94265040978171033e+00,3.76485687798872526e+00,4.21686589314710591e+00
3.28,3.51748790800020283e-05,2.32773230768175877e-06,5.27837137268938874e-07,2.92841833156681020e+00,3.75627647494176520e+00,4.20867238416989586e+00
3.32,3.31474748687426011e-05,2.08500617957511252e-06,4.63709278170128886e-07,2.91466700726556605e+00,3.74784048232889866e+00,4.20063151531819390e+00
3.36,3.12177329346330525e-05,1.86766890892929954e-06,4.07372425234735418e-07,2.90138290006027644e+00,3.73954966594445137e+00,4.19273889569640623e+00
3.40,2.93820169557866021e-05,1.67302750644228032e-06,3.57880034055954457e-07,2.88855305897485737e+00,3.73140504460654254e+00,4.18499030402354943e+00
3.44,2.76367820819943412e-05,1.49868134298569036e-06,3.14400558380623224e-07,2.87616507873081195e+00,3.72340758241167435e+00,4.17738168011740463e+00
3.48,2.59785738470261863e-05,1.34249079829375032e-06,2.76203478824450958e-07,2.86420706132837077e+00,3.71555790689739984e+00,4.16990911689857757e+00
3.52,2.44040270758141237e-05,1.20254876513436727e-06,2.42647028900262229e-07,2.85266757912813151e+00,3.70785606602424433e+00,4.16256885280638755e+00
3.56,2.29098647865269178e-05,1.07715486475320414e-06,2.13167411544601131e-07,2.84153563922032504e+00,3.70030133623009982e+00,4.15535726543219130e+00
3.60,2.14928970877751078e-05,9.64792226114310935e-07,1.87269326219186768e-07,2.83080064887661154e+00,3.69289209206871938e+00,4.14827086527524269e+00
3.64,2.01500200709708543e-05,8.64106676669738032e-07,1.64517646803307178e-07,2.82045238189061998e+00,3.68562574566262668e+00,4.14130629019667662e+00
3.68,1.88782146979708457e-05,7.73888189280101036e-07,1.44530110632822351e-07,2.81048094562042428e+00,3.67849876064775216e+00,4.13446030042395307e+00
3.72,1.76745456841512573e-05,6.93054426866138030e-07,1.26970896271714748e-07,2.80087674855297930e+00,3.67150674066065941e+00,4.12772977319830403e+00
3.76,1.65361603769398834e-05,6.20636223101733568e-07,1.11544981509157852e-07,2.79163046821902894e+00,3.66464458693487005e+00,4.12111169765501284e+00
3.80,1.54602876299301014e-05,5.55764835578291056e-07,9.79931871244068651e-08,2.78273301929244044e+00,3.65790671290094105e+00,4.11460316899549294e+00
3.84,1.44442366725497385e-05,4.97660805357662553e-07,8.60878223149083995e-08,2.77417552171730497e+00,3.65128729692976117e+00,4.10820138361857357e+00
3.88,1.34853959754608410e-05,4.45624256196451262e-07,7.56288595241878480e-08,2.76594926871071634e+00,3.64478054736163859e+00,4.10190363313520123e+00
3.92,1.25812321116429997e-05,3.99026464703308957e-07,6.64405734367719755e-08,2.75804569450160830e+00,3.63838094940118717e+00,4.09570729980343184e+00
3.96,1.17292886133053983e-05,3.57302532793800185e-07,5.83685883615708887e-08,2.75045634167339204e+00,3.63208346187225661e+00,4.08960985197116944e+00
4.00,1.09271848246321688e-05,3.19944992835279301e-07,5.12772838096460552e-08,2.74317282799343598e+00,3.62588363764931998e+00,4.08360884220604170e+00
